name	hours	website
Bellagio Fountains	Mon-Fri: every 30 min from 3p-8p, Mon-Fri: every 15min from 8p-12a, SS: every 30 min from 12p-8p, SS every 15min from 8p-12a	https://bellagio.mgmresorts.com/en/entertainment/fountains-of-bellagio.html
Gondolier March	Daily: 9:50a & 4:20p	https://www.venetian.com/resort/attractions/gondola-rides.html
Gondola Rides	Indoor Sun-Thur: 10a-11p, Indoor Fri-Sat: 10a-12a, Outdoor daily: 11a-12a	https://www.venetian.com/resort/attractions/gondola-rides.html
Neon Museum	General Admission daily: 3p-6p, Guided Tour daily: 7p-10:45p, Brilliant! Daily: 9p-11p	https://www.neonmuseum.org
Mob Museum	Museum Daily: 9a-9p, Speakeasy Mon-Wed: 12p-10p, Speakeasy Thur-Sun: 12p-12a	https://themobmuseum.org
Mirage Volcano	Daily: 8p-11p on the hour	https://mirage.mgmresorts.com/en/amenities/volcano.html
Conservatory and Botanical Gardens	Daily: 24 hours	https://bellagio.mgmresorts.com/en/entertainment/conservatory-botanical-garden.html
Forum Shops	Sun-Thur: 12a-9p, Fri-Sat: 10a-10p	https://www.simon.com/mall/the-forum-shops-at-caesars-palace
Fall of Atlantis	Thur-Mon: 12p-8p on the hour	https://www.simon.com/mall/the-forum-shops-at-caesars-palace/stream/atlantis-show-6160026
Skypod	Mon-Thur: 12p-1a, Fri-Sat: 10-1a	https://www.thestrat.com/attractions/skypod
Las Vegas Sign	Daily: 24 hours	https://www.vegas.com/attractions/on-the-strip/welcome-las-vegas-sign/
Seven Magic Mountains	Daily: 24 hours	https://sevenmagicmountains.com
Ethel M Chocolates and Botanical Cactus Garden	Sun-Thur: 10a-6p, Fri-Sat: 9a-7p	https://www.ethelm.com
Downtown Container Park	Mon-Thur: 11:30a-10p, Fri: 11a-1a, Sat: 10a-1a, Sun: 11a-8p	https://downtowncontainerpark.com
Flamingo Wildlife Habitat	Daily: 7a-8p	https://www.caesars.com/flamingo-las-vegas/things-to-do/wildlife-habitat
Lake of Dreams	Daily: dusk-11:30pm on the half hour	https://www.wynnlasvegas.com/entertainment/lake-of-dreams
Fremont Street Experience	Daily: 6p-2a on the hour	https://vegasexperience.com
Madame Tussauds	Daily: 11a-7p	https://www.madametussauds.com/las-vegas/
Zak Bagan’s Haunted Museum	Thur-Mon: 10a-8p	https://thehauntedmuseum.com
Vegas Indoor Skydiving	Mon-Thur: 11:45-6p, Fri-Sun: 10:45-7p	https://vegasindoorskydiving.com
Eiffel Tower Viewing Deck	Thur-Mon: 5p-12a	https://www.caesars.com/paris-las-vegas/things-to-do/eiffel-tower
High Roller	Daily: 4p-12a	https://www.google.com/search?client=safari&rls=en&q=high+roller+las+vegas&ie=UTF-8&oe=UTF-8
Valley of Fire State Park	Daily: sunrise-sunset	http://parks.nv.gov/parks/valley-of-fire
Absinthe	Sun-Thur: 8p & 10p, Fri-Sat: 7p, 9p & 11p	https://www.caesars.com/caesars-palace/shows/absinthe
RuPaul’s Drag Race Live!	Thur-Sun: 9:30p	https://www.caesars.com/flamingo-las-vegas/shows/rupauls-drag-race-live
Museum of Dream Space	Mon-Thur: 11a-9p, Fri-Sun: 11a-10p	https://www.mods-museum.com/vegas/
Chocolate Fountain (at Bellagio Patisserie)	Daily: 6a-10p	https://bellagio.mgmresorts.com/en/restaurants/bellagio-patisserie.html
Glass Sculpture (Fioro di Como)	Daily: 24 hours	https://bellagio.mgmresorts.com/en.html
Floral Atrium (at Mirage)	Daily: 24 hours	https://mirage.mgmresorts.com/en.html
Carved Wooly Mammoth Tusk	Daily: 24 hours	https://vitalvegas.com/freaky-las-vegas-find-carved-mammoth-tusk-treasure-island/
Free Circus Acts	Mon-Thur: starting at 1:30p, Fri-Sun: starting at 11:30a	https://www.circuscircus.com/entertainment-amenities-1/free-circus-acts/
Art Display (at Cosmopolitan)	Daily: 24 hours	https://www.cosmopolitanlasvegas.com/resort/art
Rainstorm show	Mon-Thur: 10a-11p on the hour, Fri-Sun: 10a-11p on the hour	https://www.miraclemileshopslv.com/mall-directory/rainstorm-show/
World’s Largest Atrium	Daily: 24 hours	https://luxor.mgmresorts.com/en.html
Botanical Garden. (At Wynn)	Daily: 24 hours	http://lifescapesintl.com/project/wynn-las-vegas/
Opium	Wed-Sun: 8p & 10p	https://www.cosmopolitanlasvegas.com/entertainment/exclusives/opium
Atomic Saloon	Wed-Sun: 7p & 9p	https://spiegelworld.com/atomic-saloon-show/
Hand of Faith	Daily: 24 hours	https://www.goldennugget.com/las-vegas/casino/hand-of-faith/
The Tank Pool and Shark Aquarium	Mon-Thur: 10a-6p, Fri-Sun: 9a-7p	https://www.goldennugget.com/las-vegas/amenities/h2o-pool/
Streetmosphere	Daily: 10a-10p	https://www.visitlasvegas.com/listing/streetmosphere-at-the-grand-canal-shoppes/35613/
Siren Chopper	Daily: 24 hours	https://www.hotbikeweb.com/treasure-island-casino-siren-chopper-sea-nymph
Grand Canyon Skywalk	Daily: 9a-7p	https://grandcanyonwest.com/things-to-do/skywalk/
Zion National Park	Daily: sunrise-sunset	https://www.nps.gov/zion/index.htm
Bryce Canyon	Daily: 24 hours	https://www.nps.gov/brca/index.htm
Death Valley	Daily: 24 hours	https://www.nps.gov/deva/index.htm
Zombie Burlesque	Mon-Sat: 8p	https://zombieburlesque.com
