food_id	location_id
0	49
1	4
2	46
3	47
4	43
5	43
5	18
6	39
7	15
8	14
9	2
10	6
11	44
12	11
13	4
14	10
15	33
15	40
16	32
17	28
18	0
19	1
20	50
21	37
22	31
23	2
24	2
25	38
26	32
27	39
28	46
29	2
30	19
31	39
32	16
33	16
34	16
35	46
36	46
37	39
38	16
40	33
39	16
41	33
42	33
43	0
44	35
44	39
45	35
47	46
46	2
48	34
49	22
50	0
51	28
52	32
53	12
54	25
55	29
56	16
57	16
58	33
59	0
60	28
61	2
62	20
63	11
64	0
65	0
66	17
66	40
66	46
67	15
68	33
68	39
69	15
70	11
71	43
72	46
73	5
74	40
75	14
76	14
77	43
78	13
79	3
80	6
81	10
82	4
83	6
84	0
