name	hours	website
Wicked Spoon	breakfast: M-F 8a-11a, lunch: 11a-3p, brunch: SS 9a-4p	https://www.cosmopolitanlasvegas.com/restaurants/wicked-spoon
Bacchanal Buffet	daily: 4pm-10p	https://www.caesars.com/caesars-palace/restaurants/bacchanal-buffet
Gordon Ramsays Fish and Chips	daily: 11a-10p	https://www.gordonramsayrestaurants.com/en/us/fish-and-chips/locations/las-vegas
Steak N Shake	daily: 24hrs	https://www.steaknshake.com
Yardbird Southern Table and Bar	lunch: M-F 11a-4p, brunch: SS 9:30a-4p , supper: daily 4p-11p	https://www.runchickenrun.com/vegas/
Grand Lux Cafe	daily: 24hrs (Venetian), daily: 6am-12a (Palazzo)	https://www.grandluxcafe.com/
Mickie Finnz Fish House and Bar	Sun-Thur: 11a-12a, Fri-Sat: 11a-2a	https://www.mickiefinnzlasvegas.com/
La Creperie	Daily: 7a-9p	https://www.caesars.com/paris-las-vegas/restaurants/la-creperie
Gilleys	M-F: 12p, SS: 10a	https://gilleyslasvegas.com/
Eggslut	M-F: 7a-1p, SS: 7a-3p	https://www.cosmopolitanlasvegas.com/restaurants/eggslut
Hash House A Go Go	Sun-Wed: 8a-3p, Thur-Sat: 8a-10p	https://www.hashhouseagogo.com/
Peppermill	Sun-Wed: 7a-11p, Thur-Sat: 7a-2a	https://www.peppermilllasvegas.com/
Ri Ra Irish Pub	Daily:8a-12a	https://mandalaybay.mgmresorts.com/en/restaurants/ri-ra-irish-pub.html
Cafe Americano	daily: 24hrs	https://www.cafeamericano.com/caesars-palace/
Joe’s Seafood, Prime Steak and Stone Crab	Sun-Thur: 11:30a-9p, F-Sat: 11:30a-10p	https://www.joes.net/las-vegas/
Lobster Me	Daily: 10a-10p	https://www.lobsterme.com/
Lakeside	Sun-Thur: 5:30p-10p, F-Sat: 5:30p-10:30p	https://www.wynnlasvegas.com/dining/fine-dining/lakeside
Emerils New Orleans Fish House	Daily 5p-9:30p	https://emerilsrestaurants.com/emerils-new-orleans-fish-house/
Hot N Juicy Crawfish	Sun-Thur: 11a-11p, F-Sat: 11a-12a	https://www.hotnjuicycrawfish.com/locations-2/las-vegas-planet-hollywood
Catch	Daily: 5p-10:30p, brunch SS: 10a-2p	https://aria.mgmresorts.com/en/restaurants/catch.html
Downtown Cocktail Room	Tue-Thu: 5p-12a, F-Sat: 5p-2a	https://www.downtowncocktailroom.com
Skyfall	Thur-Sun: 5p-12a	https://delanolasvegas.mgmresorts.com/en/nightlife/skyfall-lounge.html
Bound	Thur-F: 6p-2a, SS: 10a-2a	https://www.caesars.com/cromwell/things-to-do/nightlife/bound
Vesper	daily: 24hrs	https://www.cosmopolitanlasvegas.com/lounges-bars/vesper-bar
Ghost Donkey	Daily: 4p-12a	https://www.cosmopolitanlasvegas.com/lounges-bars/ghost-donkey
Mama Rabbit	Sun-Tue: 6p-1a, F-Sat 7p-3a	https://drinkmamarabbitlv.com/
Parasol Down	M-Thur: 2p-1a, F-Sun: 12p-1a	https://www.wynnlasvegas.com/dining/bars-and-lounges/parasol-down
Gold Spike	daily: 24hrs	https://goldspike.com/
OSheas	Daily: 12p-4a	https://www.caesars.com/linq/things-to-do/nightlife/osheas-pub
Chandelier	daily: 24hrs	https://www.cosmopolitanlasvegas.com/lounges-bars/the-chandelier
Flight	daily: 24hrs	https://luxor.mgmresorts.com/en/nightlife/flight.html
Griffin	Sun-Thur: 5p-2a, F-Sat: 5p-3a	https://lasvegasgriffin.com/
Nine Fine Irishmen	M-Thur: 12p-1a, F: 11a-2a, Sat: 10a-2a, Sun: 10a-1a	https://newyorknewyork.mgmresorts.com/en/restaurants/nine-fine-irishmen.html
Beerhaus at the Park	Sun-Thur: 12p-10p, F-Sat: 12p-11p	https://newyorknewyork.mgmresorts.com/en/restaurants/beerhaus.html
Toms Urban	Sun-Thur: 9a-12a, F-Sat: 9a-2a	https://newyorknewyork.mgmresorts.com/en/restaurants/toms-urban.html
Chayo Mexican Kitchen and Tequila Bar	Sun-Thur: 8a-9p, F-Sat: 8a-5a	https://www.chayolv.com
Brooklyn Bowl	Daily: 5p-1a	https://www.brooklynbowl.com/las-vegas
Park on Fremont	W-Thur: 6p-2a, F-Sun: 11a-2a	https://www.parkonfremont.com/
America	daily: 24hrs	https://newyorknewyork.mgmresorts.com/en/restaurants/america.html
48th and Crepe	daily: 8a-2p	https://newyorknewyork.mgmresorts.com/en/restaurants/48th-and-crepe.html
Ocean One	Daily: 7:30a-11:30p	https://oceanonegrill.com/
La Salsa Cantina	Sun-Thur: 8a-10p, F-Sat: 8a-11p	https://www.lasalsacantinalv.com/
Blondies	Sun-Thur: 8a-1a, F-Sat: 8a-2a	http://www.blondieslasvegas.com/
PBR Rockbar	M-Thur: 9a-1a, F-Sat: 8a-3a, Sun: 8a-1a	https://www.pbrrockbar.com/
